Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
85	-92982.3	61331.35	7377.809	-193300.62	800.0	-797.1845	2.6700702e-05	-797.18414	-797.1846	688000	1.6734004e-08	274892860.0	-0.047934037	-186048.0	3.299547	0.00954255	0.2665	79.0	739.9000232219696
86	-88183.17	57347.348	2197.3423	-167288.56	800.0	-806.14386	9.203719e-05	-806.1432	-806.144	696000	-1.4126301e-08	279589860.0	-0.047803458	-151296.0	3.2773614	0.009549947	0.26125	79.0	748.8138976097107
87	-42593.125	55721.156	15595.272	-154530.56	800.0	-814.13275	0.000111658475	-814.1318	-814.13275	704000	-1.013279e-09	126939870.0	-0.031444144	-37856.0	3.264397	0.015368573	0.18175	25.0	756.1083564758301
88	-71692.13	38840.35	-13411.16	-144034.78	800.0	-818.407	9.034698e-05	-818.4062	-818.407	712000	-1.5735626e-08	233275020.0	-0.051154144	-100032.0	3.2804337	0.013782623	0.25775	79.0	765.2465491294861
89	-93504.55	79626.42	5247.1367	-241496.39	800.0	-824.8925	4.1407304e-05	-824.89197	-824.8926	720000	-2.026558e-08	314209150.0	-0.03789228	-187232.0	3.2661757	0.015089355	0.209	28.0	772.880188703537
90	-68963.16	94030.06	32047.46	-334642.97	800.0	-833.91504	0.000118101445	-833.91364	-833.9153	728000	-3.9339067e-08	307280500.0	-0.017047545	-101952.0	3.278201	0.013522831	0.15875	8.0	780.1295957565308
91	-45660.105	42008.477	7364.8257	-126470.63	800.0	-840.8828	6.369333e-05	-840.88226	-840.88293	736000	2.0466745e-08	132555910.0	-0.048326924	-39584.0	3.2850327	0.01305638	0.274375	79.0	788.8828661441803
92	-48681.824	40026.023	15712.048	-129868.62	800.0	-845.3349	0.00013670717	-845.334	-845.3349	744000	-1.0430813e-09	99131860.0	-0.050347313	-43976.0	3.259916	0.011786944	0.28225	79.0	798.0044922828674
93	-137823.23	115417.25	-7793.023	-381369.3	800.0	-849.92676	6.084795e-05	-849.9259	-849.9269	752000	2.1874905e-08	649357000.0	-0.036683403	-446656.0	3.2183003	0.015418807	0.20925	28.0	805.7021832466125
94	-64208.918	48233.33	35790.875	-127767.28	800.0	-863.957	5.5479915e-05	-863.9566	-863.9571	760000	2.7537347e-08	209644020.0	-0.049567875	-103552.0	3.2693052	0.011708047	0.2645	79.0	814.6897475719452
